category,data_source,freq,tickers,cut,fields,vendor_tickers,local-close
base-depos,bloomberg,daily,NZD2Y,NYC,close,NDDR2 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NZD3Y,NYC,close,NDDR3 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NZD5Y,NYC,close,NDDR5 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CADON,NYC,close,CDDR1T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CADTN,NYC,close,CDDR2T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CADSN,NYC,close,CDDR3T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD1W,NYC,close,CDDR1Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD2W,NYC,close,CDDR2Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD3W,NYC,close,CDDR3Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD1M,NYC,close,CDDRA CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD2M,NYC,close,CDDRB CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD3M,NYC,close,CDDRC CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD4M,NYC,close,CDDRD CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD6M,NYC,close,CDDRF CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD9M,NYC,close,CDDRI CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD1Y,NYC,close,CDDR1 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD2Y,NYC,close,CDDR2 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD3Y,NYC,close,CDDR3 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,CAD5Y,NYC,close,CDDR5 CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOKON,NYC,close,NKDR1T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOKTN,NYC,close,NKDR2T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOKSN,NYC,close,NKDR3T CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK1W,NYC,close,NKDR1Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK2W,NYC,close,NKDR2Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK3W,NYC,close,NKDR3Z CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK1M,NYC,close,NKDRA CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK2M,NYC,close,NKDRB CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK3M,NYC,close,NKDRC CMPN Index,5:00pm NYC
base-depos,bloomberg,daily,NOK4M,NYC,close,NKDRD CMPN Index,5:00pm NYC
